CustomerID,Age,Gender,Annual_Income_Lakhs,Spending_Score,Purchase_Frequency,Recency_Days,Preferred_Category,Cluster,PCA1,PCA2,Segment_Name
CUST1490,53,Female,9.0,59,9,58,Beauty,3,-0.3511201292090761,1.1126562997179992,Steady Regulars
CUST1430,26,Male,5.8,51,9,45,Sports,2,-0.3679283619796968,-1.3246558830857331,Budget Enthusiasts
CUST1083,35,Male,16.9,89,21,20,Beauty,0,1.958340380084933,0.379472345138531,Premium Loyalists
CUST1121,44,Male,22.2,29,6,42,Fashion,4,-0.5038292903775025,1.9712916628174515,Affluent Disengaged
CUST1222,21,Female,8.3,74,12,23,Groceries,2,0.7305840081652999,-1.5795710022719671,Budget Enthusiasts
CUST1148,43,Male,15.7,19,5,90,Sports,4,-1.6196913857496114,1.3119180887686972,Affluent Disengaged
CUST1033,34,Male,11.6,96,28,10,Home & Kitchen,0,2.519702103738477,-0.3357561627943067,Premium Loyalists
CUST1386,37,Female,3.4,19,1,107,Fashion,1,-2.5199781133763364,-0.4755875442196605,Price-Sensitive / At Risk
CUST1201,41,Female,6.3,77,11,18,Electronics,3,0.6328165958009181,-0.2708820387113987,Steady Regulars
CUST1482,47,Male,8.7,37,12,44,Sports,3,-0.4513320508598864,0.6809262468715772,Steady Regulars
CUST1296,34,Male,6.3,81,15,42,Fashion,2,0.723863858121191,-0.7875588531747635,Budget Enthusiasts
CUST1262,25,Female,6.0,64,21,27,Home & Kitchen,2,0.9618484237546684,-1.4771018148221582,Budget Enthusiasts
CUST1434,25,Male,8.0,42,13,29,Electronics,2,-0.0174310012449181,-1.1533293466738668,Budget Enthusiasts
CUST1475,51,Male,10.4,62,15,33,Groceries,3,0.4875642501535998,1.0481299801338078,Steady Regulars
CUST1460,45,Female,12.4,65,13,31,Sports,3,0.5435073177949363,0.7876844347523412,Steady Regulars
CUST1458,59,Female,7.6,50,15,38,Groceries,3,0.0219852874608318,1.4211281606296176,Steady Regulars
CUST1356,51,Male,3.2,23,5,132,Electronics,1,-2.5394748139624905,0.6163633900987181,Price-Sensitive / At Risk
CUST1467,22,Male,5.7,61,15,14,Fashion,2,0.6550171839061876,-1.7514114904135514,Budget Enthusiasts
CUST1116,42,Female,12.9,25,5,110,Groceries,4,-1.8310263592615943,0.9376888211544274,Affluent Disengaged
CUST1404,32,Female,3.5,22,2,105,Fashion,1,-2.335976414491786,-0.869671930192338,Price-Sensitive / At Risk
CUST1014,46,Female,22.1,92,26,24,Electronics,0,2.4529294404367787,1.7981445991315486,Premium Loyalists
CUST1275,33,Female,6.0,95,20,16,Groceries,2,1.6866110473225844,-1.010902068420923,Budget Enthusiasts
CUST1309,33,Male,6.1,77,17,1,Sports,2,1.2734827301145049,-0.9490639584123712,Budget Enthusiasts
CUST1506,34,Male,6.9,53,13,39,Home & Kitchen,2,0.0248669634365594,-0.6050748438250715,Budget Enthusiasts
CUST1337,18,Male,6.1,23,4,83,Fashion,1,-1.7520168611763662,-1.7160473511967471,Price-Sensitive / At Risk
CUST1498,54,Female,11.5,48,9,27,Beauty,3,-0.1259406377485647,1.4544439852379698,Steady Regulars
CUST1133,64,Female,16.3,31,6,120,Beauty,4,-1.7255666546349673,3.011636959320387,Affluent Disengaged
CUST1376,40,Female,4.3,17,2,134,Fashion,1,-2.811719916359095,-0.0841266729179931,Price-Sensitive / At Risk
CUST1260,31,Female,3.1,64,18,8,Electronics,2,0.8640544463393943,-1.3661531117488577,Budget Enthusiasts
CUST1269,34,Male,5.0,88,22,24,Beauty,2,1.5253407840945017,-0.999261599121969,Budget Enthusiasts
CUST1279,27,Female,4.7,84,19,15,Sports,2,1.3655319062657816,-1.573510743603305,Budget Enthusiasts
CUST1497,42,Male,9.1,57,10,52,Fashion,3,-0.2030122937229941,0.2671829680606269,Steady Regulars
CUST1302,34,Male,4.2,65,10,22,Groceries,2,0.2028334978682408,-0.9854515301853586,Budget Enthusiasts
CUST1147,48,Male,15.8,31,8,64,Home & Kitchen,4,-0.8472316733159773,1.6077864148286658,Affluent Disengaged
CUST1026,36,Male,15.0,72,25,9,Sports,0,1.911046061257294,0.2977652329768402,Premium Loyalists
CUST1485,40,Male,8.2,47,9,9,Sports,3,0.0151197010488002,-0.0253571107773368,Steady Regulars
CUST1314,36,Male,6.9,67,18,7,Groceries,2,1.0597816405037177,-0.5740700893626816,Budget Enthusiasts
CUST1247,37,Male,4.9,79,18,28,Groceries,2,0.9901387385818096,-0.7289467613335602,Budget Enthusiasts
CUST1347,22,Female,5.6,21,5,154,Fashion,1,-2.643450844612914,-1.317659571358461,Price-Sensitive / At Risk
CUST1223,18,Male,6.2,98,18,16,Electronics,2,1.6913088817908877,-2.1641284911063448,Budget Enthusiasts
CUST1419,39,Male,5.6,32,5,59,Fashion,1,-1.2965121094008356,-0.2275285572830504,Price-Sensitive / At Risk
CUST1052,42,Female,15.8,85,29,14,Groceries,0,2.410468619082437,0.8025723616777205,Premium Loyalists
CUST1259,24,Male,6.1,69,18,18,Home & Kitchen,2,0.9910629568218008,-1.5807346924529613,Budget Enthusiasts
CUST1428,54,Male,8.3,26,15,36,Beauty,3,-0.4407008999072958,1.2103779075402197,Steady Regulars
CUST1041,43,Female,17.5,80,24,13,Home & Kitchen,0,2.0331762260844486,1.0900510744657128,Premium Loyalists
CUST1090,41,Female,17.5,96,29,21,Electronics,0,2.6349892291881223,0.8783418905759635,Premium Loyalists
CUST1207,21,Female,4.4,68,16,8,Electronics,2,0.9093813703899876,-2.0145633307481337,Budget Enthusiasts
CUST1240,30,Male,6.0,52,14,19,Beauty,2,0.3018207269660937,-1.048897783294177,Budget Enthusiasts
CUST1483,54,Female,9.0,47,12,31,Electronics,3,-0.0871393859243915,1.189000035112182,Steady Regulars
CUST1239,22,Male,3.6,75,17,25,Fashion,2,0.888668319395708,-2.0236463367595765,Budget Enthusiasts
CUST1505,27,Male,5.7,55,13,36,Sports,2,0.0931967567311053,-1.2947126223308738,Budget Enthusiasts
CUST1311,27,Female,5.8,89,24,26,Fashion,2,1.716572136951794,-1.4555474250324665,Budget Enthusiasts
CUST1004,45,Male,13.7,73,20,20,Electronics,0,1.375182019873003,0.8717711413309077,Premium Loyalists
CUST1180,33,Female,14.2,42,8,97,Electronics,4,-1.003834255028491,0.2832211322267695,Affluent Disengaged
CUST1249,39,Male,2.9,76,24,15,Sports,2,1.4057548578585437,-0.8094831628196534,Budget Enthusiasts
CUST1293,21,Male,5.9,87,17,10,Beauty,2,1.429506605682714,-1.927908580129976,Budget Enthusiasts
CUST1066,44,Female,18.5,78,25,9,Beauty,0,2.137321351238079,1.2783891859172416,Premium Loyalists
CUST1139,55,Male,16.9,27,6,112,Fashion,4,-1.654889350909711,2.381808655448604,Affluent Disengaged
CUST1437,40,Male,8.1,53,11,49,Fashion,3,-0.215525882075431,0.0127806157289797,Steady Regulars
CUST1304,25,Male,7.0,58,9,22,Groceries,2,0.1205421240860636,-1.3438867447380354,Budget Enthusiasts
CUST1114,46,Female,17.8,41,6,88,Home & Kitchen,4,-0.9744214602558896,1.6768623457677838,Affluent Disengaged
CUST1469,54,Female,7.8,50,14,30,Beauty,3,0.0827331600639623,1.040692404055308,Steady Regulars
CUST1169,37,Male,17.2,24,5,89,Sports,4,-1.4154418074547397,0.988501954864901,Affluent Disengaged
CUST1102,47,Male,14.0,80,26,7,Groceries,0,2.0971538990128504,1.001734587813316,Premium Loyalists
CUST1373,35,Male,5.7,45,4,144,Beauty,1,-2.104972870653817,-0.4204876436365569,Price-Sensitive / At Risk
CUST1214,24,Female,3.1,90,19,22,Home & Kitchen,2,1.3673512329500754,-1.995257468653605,Budget Enthusiasts
CUST1406,53,Female,6.4,15,3,128,Home & Kitchen,4,-2.694768949108397,1.152465960920637,Affluent Disengaged
CUST1502,60,Male,6.0,46,8,34,Electronics,3,-0.5502284561102964,1.3356738856836,Steady Regulars
CUST1461,26,Male,9.2,44,12,26,Fashion,2,0.0363833651440352,-0.9572156132991548,Budget Enthusiasts
CUST1338,29,Male,3.9,41,1,63,Groceries,1,-1.4327271895588116,-1.2197281000531972,Price-Sensitive / At Risk
CUST1452,45,Male,8.8,40,18,38,Sports,3,0.1049746793138488,0.5091904478618839,Steady Regulars
CUST1194,51,Male,15.6,33,4,107,Home & Kitchen,4,-1.6236625608845785,1.8938273483035324,Affluent Disengaged
CUST1061,26,Female,16.0,86,15,20,Sports,0,1.494800172847361,-0.4016290607103607,Premium Loyalists
CUST1417,22,Female,5.0,28,4,83,Sports,1,-1.6979693591913063,-1.5487270135525908,Price-Sensitive / At Risk
CUST1315,18,Male,6.5,81,19,22,Fashion,2,1.3165069522403954,-2.046735333088721,Budget Enthusiasts
CUST1119,38,Female,12.4,44,7,105,Groceries,4,-1.212536371566484,0.4796268953297364,Affluent Disengaged
CUST1370,31,Female,5.0,27,3,124,Beauty,1,-2.3336900228915125,-0.7677418816900212,Price-Sensitive / At Risk
CUST1426,36,Male,6.2,50,11,20,Electronics,3,0.0247277916540099,-0.5492983633070774,Steady Regulars
CUST1110,26,Male,15.9,78,26,16,Electronics,0,2.1012307200031786,-0.3917039470668363,Premium Loyalists
CUST1348,34,Female,5.3,19,2,104,Beauty,1,-2.333622351444561,-0.5049579067199751,Price-Sensitive / At Risk
CUST1450,47,Male,11.8,41,12,46,Sports,3,-0.2742665450176968,1.009387687869128,Steady Regulars
CUST1362,24,Female,5.2,27,1,44,Sports,1,-1.440516738179092,-1.4398593461784053,Price-Sensitive / At Risk
CUST1091,43,Female,19.0,91,24,10,Electronics,0,2.369835720040306,1.2022797127817693,Premium Loyalists
CUST1156,43,Female,15.5,28,5,106,Home & Kitchen,4,-1.6244989172155349,1.2814552528405316,Affluent Disengaged
CUST1264,29,Male,5.8,63,9,18,Beauty,2,0.2204492998017339,-1.1952132016905797,Budget Enthusiasts
CUST1307,29,Female,5.2,72,30,26,Groceries,2,1.710425032835056,-1.296444836926179,Budget Enthusiasts
CUST1031,53,Male,19.2,79,23,14,Home & Kitchen,0,1.9499037610543508,2.059938242165798,Premium Loyalists
CUST1023,47,Female,19.9,68,22,2,Sports,0,1.8376643862234483,1.6969824253938228,Premium Loyalists
CUST1306,23,Female,5.5,90,19,32,Electronics,2,1.335210792891897,-1.7890575029888087,Budget Enthusiasts
CUST1032,35,Male,15.0,85,26,10,Sports,0,2.259696727736322,0.1654187991739199,Premium Loyalists
CUST1238,22,Male,6.3,86,11,2,Sports,2,1.1134898747734905,-1.8138808735080807,Budget Enthusiasts
CUST1327,23,Male,4.5,26,3,123,Groceries,1,-2.3271420226399107,-1.4409658975772135,Price-Sensitive / At Risk
CUST1053,28,Female,24.4,81,18,10,Beauty,0,2.0054479308167985,0.6809313862739927,Premium Loyalists
CUST1491,32,Male,10.2,61,8,20,Electronics,2,0.2310097775702994,-0.4642218599624563,Budget Enthusiasts
CUST1165,43,Female,19.6,5,2,131,Home & Kitchen,4,-2.498495696326377,1.8822546401013136,Affluent Disengaged
CUST1217,34,Male,2.7,72,18,16,Home & Kitchen,2,0.9157088192390298,-1.1969072675719354,Budget Enthusiasts
CUST1163,38,Male,19.5,39,7,68,Electronics,4,-0.6078823959482803,1.2138927640000647,Affluent Disengaged
CUST1366,28,Male,3.2,16,4,157,Electronics,1,-2.972333923407124,-1.089161055322195,Price-Sensitive / At Risk
CUST1057,36,Female,20.8,76,26,1,Home & Kitchen,0,2.377190273052765,0.904449861814528,Premium Loyalists
CUST1471,44,Male,8.3,56,9,55,Electronics,3,-0.3673124891497488,0.3446406696790707,Steady Regulars
CUST1003,43,Male,16.2,83,21,14,Beauty,0,1.838870090420591,0.9372398309596032,Premium Loyalists
CUST1059,32,Female,17.5,92,25,1,Beauty,0,2.5637011510563408,0.1616576707910668,Premium Loyalists
CUST1372,37,Male,4.3,32,4,154,Home & Kitchen,1,-2.5778151117996093,-0.3445967890017971,Price-Sensitive / At Risk
CUST1241,31,Female,8.4,73,20,12,Groceries,2,1.3420486864191774,-0.8139059407616468,Budget Enthusiasts
CUST1268,30,Female,1.5,69,18,32,Sports,2,0.6245869186756496,-1.5960871287178804,Budget Enthusiasts
CUST1500,47,Male,6.5,43,12,35,Home & Kitchen,3,-0.2863319558309364,0.3952157783091206,Steady Regulars
CUST1075,39,Female,19.3,80,26,17,Sports,0,2.200765081527317,0.9848755157559104,Premium Loyalists
CUST1331,33,Female,2.9,22,1,38,Home & Kitchen,1,-1.600224058846634,-0.9853289892669648,Price-Sensitive / At Risk
CUST1477,43,Male,8.1,58,16,54,Home & Kitchen,3,0.1567737358814407,0.2306724925921613,Steady Regulars
